76.79,2.44,1.12,0.03,1.95,0.31,0.05,0.16,0.1,0.08,0.1,14.27,0.55,0.08,0.05,1.72,0.94,1
76.32,1.18,0.91,0,2.19,0.46,0.55,0,0,0.09,0,13.11,0.09,0.27,0,0.82,0,1
71.45,4.26,0.16,0,0.95,0.63,0.16,0,0,0,0,16.09,0,0,0,0.47,0.32,1
80.78,0.92,0.18,0,1.11,0.37,0,0.37,0,0.18,0,17.74,0.92,0.55,0,0.37,0.74,1
74.22,2.26,1.05,0.17,1.92,0.87,0.7,0.35,0.35,0.17,0,16.38,0.35,0,0,1.74,0,1
80.35,2.36,0.39,0.59,2.55,0.39,0.39,0.2,0,0,0,17.09,0.2,0,0,0.98,1.57,1
83.53,0.68,0.85,0,2.38,0.51,0,0.17,0.17,0.17,0.17,13.41,0.17,0,0,1.7,0.34,1
77.73,2.06,0,0,1.62,0.88,0.88,0,0,0.15,0.15,17.55,0.15,0,0,0.74,0.29,1
84.78,3.5,3.31,0,1.8,1.32,0.66,0.09,0.09,0,0,15.5,0.28,0.09,0,0.57,0.57,1
86.82,1.16,1.14,0.33,2.16,0.29,0.18,0.16,0.18,0.2,0.1,16.12,0.18,0.02,0.53,0.35,0.2,1
80.26,0.53,0.92,0.07,2.24,0,0.13,0.07,0.07,0,0.07,16.3,0.26,0,0,1.06,0.4,1
79.24,1.51,1.18,0.08,1.93,0.59,0.08,0,0,0,0.17,15.13,1.09,0,0.08,1.68,0.34,1
77.48,1.32,0.96,0,1.51,0.64,0.37,0,0.09,0.32,0.09,18.82,0.69,0,0.14,0.87,0.37,1
79.48,1.21,0.96,0.05,1.46,0.81,0.05,0,0,0.1,0.15,13.06,0.66,0,0,0.66,0,1
83.08,4.57,0.17,0.17,2.03,0,0,0,0,0,0,14.21,0.34,0,0,0.17,1.02,1
77.12,6.06,0.1,0.1,1.54,0.58,0.29,0.58,0.38,0.19,0,17.21,0.58,0.38,0.1,0.58,0.19,1
79.35,1.15,0.38,0.38,2.87,0.38,0.76,0,0,0,0,15.87,0.38,0,0,0,0,1
78.54,2.02,0.52,0,2.22,0.33,0.2,0.07,0.26,0.07,0.33,22.31,0.65,0.26,0,1.37,1.57,1
76.16,1.69,1.97,0,1.97,0.14,0.21,0.14,0.07,0,0.21,12.03,0.21,0,0.07,1.05,0.14,1
77.36,1.25,0.18,0,1.43,0.53,0.18,0.36,0,0,0,14.26,0.18,0,0.18,0.71,0,1
66.38,3.5,1.26,0.19,1.46,0.68,0.39,0.87,2.14,0.19,0.19,23.23,0.39,0,0.19,1.65,1.75,1
75.19,3.1,0.78,0.47,1.09,2.02,0,0,0.16,0.16,0.16,15.35,0.16,0,0.78,2.79,0.62,1
76.82,2.55,0.38,0.13,1.15,1.53,0.38,0,0.25,0.38,0.38,22.04,0.13,0,0,0.38,0.76,1
