function,article,prep,number,quant,anger,friend,cause,hear,bio,time,swear,netspeak,Type
47.32,8.25,13.7,1.92,1.37,1.88,0.14,2.66,0.32,0.96,2.2,0,0.05,Fake
39.79,8.4,14.75,1.89,1.89,2.4,0,1.37,1.89,0.86,3.43,0.17,0.34,Fake
47.75,10.37,13.6,2.94,3.13,0.29,0,2.54,0.78,0.59,2.45,0,0,Fake
37.39,10.23,13.76,1.94,1.23,0.88,0,1.76,0.53,0.35,4.76,0,0,Fake
59.01,7.21,15.48,1.54,3.54,0.41,0,1.71,0.53,1.95,4.84,0,0,Fake
39.9,10.98,15.16,2.61,1.92,0,0,1.22,0.7,1.22,2.79,0,0.35,Fake
47.67,8.38,12.91,0.73,2.26,1.59,0.12,0.92,0.55,1.47,2.2,0.43,0.12,Fake
39.29,7.58,13.1,1.84,1.19,0.87,0,1.52,0.11,1.41,4.11,0,0,Fake
43.27,8.58,14.38,2.77,1.98,0.13,0.13,1.72,2.77,1.45,6.07,0.13,0,Fake
41.32,7.56,15.41,1.08,1.67,2.16,0.2,1.77,0.29,1.77,4.61,0,0,Fake
40.46,6.23,15.39,2.93,2.54,0.38,0.38,0.89,0.38,1.27,4.96,0,0,Fake
37.15,7.21,9.56,1.57,3.13,0.31,0,4.7,0.16,17.87,0.94,0,0.16,Fake
43.55,9.26,13.64,2.5,1.5,0.75,0.5,0.75,0.25,1,6.38,0,0.25,Fake
53.14,6.67,12.75,1.18,1.57,1.76,0,1.76,0.59,0.98,4.51,0.78,0,Fake
47.68,11.8,17.41,0.97,2.22,1.16,0.39,0.97,0.48,0.19,3.48,0,0,Fake
42.62,6.27,15.6,1.25,2.09,3.2,0,1.67,2.23,0.56,2.09,0.14,0,Fake
47.74,7.07,12.77,3.73,2.16,0.59,0.2,2.36,0,1.38,5.11,0,0.59,Fake
53.13,8.05,15.33,1.4,1.66,0.38,0.13,1.02,0.26,0.64,4.85,0,0,Fake
44.76,9.24,13.1,6.33,2.84,0.07,0.07,2.55,0.22,0.22,2.26,0,0.07,Fake
48,8.76,12.38,1.71,1.33,0.57,0.95,2.48,0.95,4,7.43,0,0.19,Fake
49.62,9.77,13.03,1.5,1.5,3.13,0.5,1.25,0.63,0.75,4.64,0,0.13,Fake
46.51,9.49,15.89,0.8,1.03,2.51,0,5.03,0.11,0.34,3.89,0,0,Fake
49.35,8.41,13.78,2.76,2.04,0.43,0.1,2,0.4,1,4.21,0.05,0.17,Fake
50.3,10.76,16.67,1.97,2.88,1.06,0,1.21,1.67,0.61,2.88,0,0,Fake
49.03,8.25,16.19,3.9,2.7,0.3,0.15,1.5,1.05,0.15,11.99,0,0,Fake
45.58,9.09,12.99,3.12,0.91,0.39,0.13,1.17,1.43,1.04,4.94,0,0,Fake
48.59,13.07,18.7,1.01,0.94,2.6,0,1.81,0.22,1.52,2.96,0,0,Fake
48.53,9.26,14.56,0.74,1.18,0.51,0.07,2.28,0.66,0.59,4.56,0,0.37,Fake
51.68,9.27,14.89,1.08,1.48,0.2,0.1,0.79,0.1,1.78,6.41,0,0.1,Fake
40,7.94,13.97,0.95,1.9,2.06,0,1.11,0.16,0.63,4.92,0,0,Fake
47.07,9.96,13.8,0.82,1.83,0.27,0.18,1.55,1.1,0.27,4.48,0,0.64,Fake
56.5,7.13,13.29,0.42,1.26,0,0,2.38,0.14,0.84,6.01,0,0,Fake
45.98,8.43,14.88,1.3,2.17,1.06,0.04,1.1,0.51,1.42,4.69,0.08,0,Fake
42.46,7.87,15.73,1.48,2.31,0.35,0,4.32,0.18,3.67,2.07,0,0.47,Fake
48.98,10.83,17.04,1.3,2.87,0.46,0.09,2.59,0.19,0.46,4.35,0,0,Fake
32.27,3.91,15.12,2.19,1.17,1.27,0.21,1.47,0.35,1.7,4.12,0.12,0.14,Fake
41.83,7.84,13.15,4.18,1.17,0.99,0.47,1.08,0.7,2.21,3.8,0.23,0.19,Fake
47.44,7.13,15.5,0.31,1.71,0.62,0.62,1.71,0.62,1.24,5.74,0,0.16,Fake
50.26,8.29,13.62,1.78,1.84,0,0.13,1.78,0.92,0.39,4.47,0,0,Fake
40.6,5.22,13.13,2.09,2.09,0.3,0.3,1.79,0.75,0.45,7.01,0,0.15,Fake
48.3,9.77,16.96,1.09,0.95,0,0.95,0.95,0.95,3.8,3.8,0,0,Fake
46.88,9.26,15.88,0.76,2.08,2.27,0,1.7,0.38,1.51,3.78,0,0,Fake
59.33,8.26,14.07,1.83,1.83,0.31,0.31,3.98,0.15,1.38,3.82,0,0,Fake
45.22,8.65,13.8,2.44,2.26,1.12,0.03,1.95,0.31,0.91,2.47,0,0.1,Fake
43.35,8.01,15.3,1.18,1.91,0.91,0,2.19,0.46,0.73,4.28,0,0,Fake
42.43,9.62,14.98,4.26,2.37,0.16,0,0.95,0.63,0.16,4.89,0,0,Fake
50.65,7.39,13.12,0.92,2.03,0.18,0,1.11,0.37,2.4,2.96,0,0,Fake
42.86,8.01,15.33,2.26,1.39,1.05,0.17,1.92,0.87,0.87,4.53,0,0.35,Fake
51.28,7.07,13.95,2.36,0.98,0.39,0.59,2.55,0.39,2.16,4.52,0,0,Fake
51.1,8.15,13.92,0.68,2.04,0.85,0,2.38,0.51,1.19,3.74,0,0.17,Fake
48.38,9.73,14.9,2.06,1.47,0,0,1.62,0.88,0.74,6.49,0,0,Fake
49.34,9.36,14.08,3.5,0.66,3.31,0,1.8,1.32,1.23,5.39,0,0.09,Fake
54.39,8.24,12.97,1.16,2.47,1.14,0.33,2.16,0.29,1.33,3.75,0.12,0.18,Fake
51.09,9.44,13.27,0.53,1.78,0.92,0.07,2.24,0,0.33,3.56,0.13,0.07,Fake
50.25,9.24,15.21,1.51,2.52,1.18,0.08,1.93,0.59,0.67,3.95,0,0,Fake
50.39,6.08,13.2,1.32,1.96,0.96,0,1.51,0.64,0.5,3.06,0.09,0.09,Fake
51.74,6,14.93,1.21,2.32,0.96,0.05,1.46,0.81,0.35,4.39,0,0,Fake
46.53,8.29,15.91,4.57,1.86,0.17,0.17,2.03,0,0.17,4.4,0,0,Fake
44.81,6.44,15.38,6.06,2.69,0.1,0.1,1.54,0.58,2.31,6.54,0,0.38,Fake
45.32,7.65,17.59,1.15,2.1,0.38,0.38,2.87,0.38,1.15,6.31,0,0,Fake
49.18,8.87,14.09,2.02,1.89,0.52,0,2.22,0.33,0.72,4.24,0,0.26,Fake
44.66,11.6,16.53,1.69,1.76,1.97,0,1.97,0.14,0.7,3.73,0,0.07,Fake
47.42,7.31,16.58,1.25,0.89,0.18,0,1.43,0.53,1.6,4.46,0,0,Fake
33.33,7.77,13.41,3.5,1.26,1.26,0.19,1.46,0.68,2.62,4.57,0,2.14,Fake
37.83,8.37,15.19,3.1,1.86,0.78,0.47,1.09,2.02,0.31,4.03,0,0.16,Fake
46.11,9.04,13.38,2.55,0.89,0.38,0.13,1.15,1.53,1.02,4.97,0,0.25,Fake
51.21,8.65,14.19,1.21,1.73,2.08,0.17,0.69,0.52,0.69,3.46,0,0,Fake
47.58,8.59,14.3,2.38,1.95,0.65,0.07,1.08,0.36,0.65,3.68,0,0,Fake
49.28,6.24,14.75,2.16,1.8,2.76,0.12,1.44,0.6,2.4,4.56,0.12,0,Fake
50.52,7.53,13.88,2.22,2.36,0.59,0.59,0.89,0.59,0.3,7.09,0,0.15,Fake
43.58,5.35,13.61,3.06,1.38,1.22,0.76,1.53,1.68,0.61,4.28,0,0.31,Fake
47.72,9.33,15.4,2.81,2.28,0.76,0.08,1.52,0.46,0.68,4.25,0,0,Fake
47.1,9.03,11.61,0.65,2.9,0.65,0,1.29,0.48,0.16,3.06,0,0,Fake
42.5,9.02,15.52,4.16,1.65,0.35,0.09,2.25,0.61,2.43,3.82,0,0,Fake
42.42,8.03,16.67,1.82,1.36,0.76,0,2.58,1.06,0,4.55,0,0.15,Fake
48.11,9.66,14.49,1.61,1.23,0.47,0.09,1.14,0,1.33,5.68,0.09,0,Fake
47.69,7.19,11.45,0.93,1.44,1.27,0.24,1.7,0.77,2.08,3.59,0.14,0.24,Fake
41.95,7.46,14.83,1.27,1.44,2.12,0.17,1.78,0.25,1.61,4.58,0,0,Fake
46.88,7.61,12.48,1.67,2.74,0.61,0,1.37,0.3,0.15,5.18,0,0,Fake
48.59,6.97,15.42,2.32,0.83,3.81,0.33,2.65,1,1.66,3.15,0,0,Fake
38.55,7.35,12.65,2.77,1.33,0.48,0.48,0.84,0.72,1.81,5.9,0,0.36,Fake
44.78,11.39,14.72,3.8,1.11,1.42,0.63,2.06,0.16,0.32,3.32,0,0.16,Fake
42.27,9.72,13.4,1.47,2.65,0.74,0,2.5,0,2.06,2.06,0,0,Fake
39.1,9.9,15.48,2.94,1.43,0.78,0,0.95,2.12,1.17,4.2,0,0,Fake
40.9,8.49,16.54,3.91,1.82,0.99,0.06,1.21,0.11,1.98,3.53,0,0.11,Fake
43.35,8.56,15.59,4.18,2.28,1.9,0.38,2.09,0.76,0.57,4.75,0,0.19,Fake
46.25,9.55,15.12,1.58,1.1,1.37,0.14,1.99,0.82,0.14,3.16,0,0,Fake
43.55,7.07,14.76,1.61,2.85,0.12,0,1.99,0.37,0.12,3.35,0.12,0.12,Fake
40.66,8.62,16.99,0.49,1.21,3.16,0,1.82,0.24,0.85,3.16,0,0,Fake
44.29,10.54,14.06,0.88,1.76,0.35,0,1.05,0.35,0.53,2.81,0,0,Fake
54.04,7.72,13.82,1.9,1.41,0.28,1.01,1.86,1.94,0.53,3.68,0.04,1.82,Fake
48.93,7.24,12.87,1.74,1.74,1.34,0,1.34,0.27,1.47,4.16,0,0,Fake
46.63,10.19,15.8,1.64,0.78,1.55,0.17,2.25,1.04,0.17,3.02,0,0,Fake
44.21,9.99,13.85,0.53,0.67,0.4,0,1.46,2.66,0.67,4.93,0.13,0.53,Fake
46.66,7.19,13.67,1.03,2.57,0,0,1.75,0.1,8.63,3.7,0,0.1,Fake
45.35,10.39,14.3,3.79,2.32,0.24,0.24,2.08,1.59,1.1,10.27,0,0.49,Fake
41.72,6.98,17.28,5.46,3.94,0.18,0.09,1.07,0,0.72,8.33,0,0.18,Fake
48.91,5.82,11.94,1.16,1.16,0,0.29,1.89,0.15,9.46,4.08,0,0,Fake
42.06,9.76,13.3,2.47,1.72,0.11,0.21,3.11,0.11,0.43,7.62,0,0,Fake
42.2,8.87,14.07,3.36,1.83,0.76,0.31,1.99,0,2.45,6.88,0,0,Fake
47.46,12.25,14.65,1.13,2.11,1.83,0.14,1.69,1.41,0,2.68,0,0,Fake
47.06,8.24,13.14,1.96,3.53,0.78,0,2.16,0.78,0.78,2.94,0.2,0.39,Fake
39.77,10.16,13.64,3.05,1.16,0.58,0.15,1.02,0.73,1.6,6.24,0,0.15,Fake
44.08,8.82,13.48,4.91,2.64,2.14,0.13,1.26,2.02,0.25,4.41,0,0.38,Fake
50.8,9.19,14.78,1.28,1.92,0.16,0.08,1.84,0.4,0.48,6.15,0,0,Fake
47.86,7.92,13.47,1.8,1.64,0.42,0.05,2.48,1.11,0.79,3.49,0.11,0,Fake
50.49,8.78,14.38,1.67,0.98,0,0.15,1.51,0.38,0.15,5.98,0,0.08,Fake
42.19,10.33,15.13,2.09,1.85,1.35,0.37,1.97,1.11,1.11,3.94,0,0,Fake
43.97,8.84,14.5,2.75,1.04,0.6,0,1.79,0.36,0.56,2.99,0.12,0.2,Fake
43.95,8.73,13.49,2.88,0.79,1.59,0.2,3.47,1.19,0.4,4.17,0,0,Fake
48.72,9.88,15.12,1.05,1.51,0.7,0.47,0.81,0.58,0.93,2.56,0,0,Fake
41.22,10.14,16.9,3.79,2.14,1.07,0,1.4,0.66,0.33,4.7,0,0,Fake
42.43,9.87,16.78,1.97,4.28,0.16,0.49,0.66,0.49,0,3.95,0,0.16,Fake
46.35,10.54,15.27,1.35,1.49,3.11,0.27,1.62,0.41,0.54,3.24,0,0,Fake
43.02,9.5,13.76,2.52,1.36,0,0,1.16,0.19,0.78,5.62,0,0,Fake
36.68,6.7,15.79,7.5,4.78,0.32,0,0.48,0,1.44,5.74,0,0,Fake
39,6.05,13.62,0.76,2.2,0.41,0,2.34,0.14,11.62,2.75,0,0,Fake
44.12,9.36,15.95,0.87,1.89,1.64,0.15,2.04,0.2,0.41,3.73,0,0,Fake
52.03,6.99,13.66,1.3,1.46,1.14,0.16,1.3,0.65,0.49,4.23,0,0.33,Fake
42.62,8.26,14.48,1.4,1.72,2.49,0.1,2.21,0.96,0.8,3.23,0.02,0.2,Fake
43.82,10.13,13.07,1.69,1.33,0.8,0.18,1.33,2.13,0.8,3.02,0,0.09,Fake
46.57,10.05,16.51,2.79,1.83,0.88,0.08,1.12,0.4,0.56,4.7,0,0.08,Fake
43.38,7.35,15.93,2.33,0.98,0.98,0.12,1.96,0.49,0.86,5.51,0,0.49,Fake
46.82,8.69,16.02,2.05,1.92,2.19,0.21,1.71,0.14,0.82,2.74,0,0.55,Fake
48.78,10.38,14.88,4.54,1.65,0.05,0.1,1.85,0.5,0.8,5.14,0,0.05,Fake
45.91,12.03,11.65,2.21,1.54,0.38,0.1,2.21,0.1,2.02,3.46,0.1,0.19,Fake
41.57,9.27,13.06,3.35,2.03,1.41,0.26,0.88,0.35,0.09,4.32,0.09,0.35,Fake
45.71,8.71,15.59,6.12,2.34,0.06,0,4.42,0.13,0.32,3.35,0,0,Fake
49.23,6.37,15.15,1.2,2.07,0.34,0.34,1.55,1.03,1.03,4.99,0,0.17,Fake
48.9,8.77,14.17,1.01,2.19,0.51,0,1.52,0.84,0.84,2.7,0,0,Fake
39.03,10.72,15.41,3.02,2.51,1.68,0.17,2.01,1.17,1.84,3.85,0,0.17,Fake
45.61,7.33,15.71,1.37,2.26,0.08,0,3.87,0.97,0.16,4.27,0,0.56,Fake
47.83,7.94,13.58,1.83,1.62,0.42,0.05,2.45,1.1,0.78,3.45,0.1,0.05,Fake
48.99,8.78,12.25,3.18,3.28,0.1,0.19,0.77,0,0.48,6.36,0,0,Fake
38,8.45,14.78,2.5,1.73,0.38,0.38,2.5,0.77,0.38,2.88,0,0,Fake
43.24,9.75,15.88,2.52,0.63,1.1,0.16,1.42,0,0.16,3.77,0,0,Fake
43.3,8.81,11.3,1.72,1.92,0.38,0,1.34,1.53,2.3,5.56,0.19,0.38,Fake
50,6.25,14.31,2.02,3.33,0.4,0,1.51,0.3,0.6,4.44,0,0.2,Fake
