50,90,46,0,4,6,0,18,2,8,2,2,0,1
110,87.27,47.27,2.73,0,5.45,0.91,8.18,2.73,16.36,2.73,7.27,0,1
128,85.16,50.78,1.56,0,8.59,1.56,16.41,1.56,8.59,2.34,2.34,1.56,1
192,89.06,56.25,0.52,0,5.21,2.08,16.67,1.56,6.77,0.52,2.6,0,1
185,83.78,50.27,3.78,0,6.49,3.78,16.76,1.62,14.05,4.86,2.16,0,1
134,88.81,52.24,5.97,3.73,1.49,1.49,16.42,0,15.67,6.72,2.24,2.99,1
14,85.71,50,14.29,0,7.14,7.14,28.57,0,14.29,14.29,0,0,1
127,88.19,53.54,6.3,4.72,2.36,2.36,24.41,2.36,17.32,9.45,0.79,0,1
9,88.89,44.44,22.22,0,0,0,44.44,0,44.44,44.44,0,0,1
13,92.31,46.15,0,0,7.69,7.69,7.69,0,7.69,0,0,0,1
50,94,50,8,2,4,2,18,0,24,14,4,0,1
126,78.57,53.97,2.38,0,3.97,0.79,11.9,0.79,12.7,3.17,3.17,0,1
101,82.18,47.52,3.96,0.99,4.95,2.97,6.93,3.96,16.83,4.95,0.99,0,1
77,77.92,37.66,0,2.6,3.9,5.19,12.99,1.3,15.58,0,6.49,0,1
171,71.35,30.99,1.17,0,4.68,1.17,7.02,1.17,9.36,3.51,1.75,1.75,1
100,78,48,1,0,1,2,11,4,13,2,2,1,1
21,85.71,47.62,9.52,0,4.76,4.76,19.05,0,19.05,9.52,4.76,0,1
198,84.34,53.54,1.01,1.01,3.03,2.53,10.1,2.53,5.56,1.52,5.05,0,1
7,71.43,42.86,0,0,0,0,0,14.29,0,0,0,0,1
83,73.49,38.55,2.41,0,6.02,0,3.61,1.2,12.05,2.41,3.61,2.41,1
21,80.95,38.1,4.76,0,9.52,0,4.76,0,4.76,4.76,0,0,1
7,71.43,42.86,0,0,0,0,0,14.29,0,0,0,0,1
7,100,71.43,0,0,14.29,0,0,0,0,0,0,0,1
